pseudopus apodus,120,4P98Q,species,,"Greece (incl. Limnos, Rhodos, Lesbos, Corfu = Corfou, Chios, Samos), coastal Croatia, Hercegovina, Monte Negro, Macedonia, Albania, Bulgaria, Turkey, Lebanon,",Greece,"Greece, Croatia, Albania, Bulgaria, Turkey, Lebanon",
furcifer pardalis,121,6K4Y8,species,,"Nossi Be = Nosy Bé, St. Marie, Nosy Faly, Nosy Mangabe, Nosy Mitsio, Nosy Sakatia, Nosy Tanikely, Nosy Komba, NE Madagascar, Reunion (introduced)",No Valid Country Found,No Valid Country Found,
ouroborus cataphractus,122,4B9F9,species,,SW Republic of South Africa,No Valid Country Found,No Valid Country Found,
smaug giganteus,123,4XVBV,species,,"Republic of South Africa (small scatterd populations in NE OFS, extreme W Natal and SE Transvaal)",No Valid Country Found,No Valid Country Found,
nephrurus levis,124,472RS,species,,Australia (arid/semi-arid central Australia west of the Great Dividing Range:,Australia,"Australia, Australia",
correlophus ciliatus,125,YHKB,species,,EC New Caledonia,No Valid Country Found,No Valid Country Found,
rhacodactylus auriculatus,126,4RX4K,species,,S New Caledonia,New Caledonia,New Caledonia,
rhacodactylus leachianus,127,4RX4R,species,,New Caledonia; Isle of Pine; Belep Isles (?),New Caledonia,New Caledonia,
eublepharis fuscus,128,6GSJS,species,,"W India (northern Karnataka, Maharashtra and Gujarat)",No Valid Country Found,No Valid Country Found,
eublepharis macularius,129,3BNV5,species,,"E Afghanistan, Pakistan, NW India (Rajasthan, Ajmer, Madar foot hills, Punhab, Jammu), Nepal,  E Iran (fide CARRIÓN et al. 2003).",Afghanistan,"Afghanistan, Pakistan, Iran",
eublepharis macularius afghanicus,130,7GRQ3,subspecies,,"E Afghanistan, Pakistan, NW India (Rajasthan, Ajmer, Madar foot hills, Punhab, Jammu), Nepal,  E Iran (fide CARRIÓN et al. 2003).",Afghanistan,"Afghanistan, Pakistan, Iran",
eublepharis satpuraensis,131,6H4K4,species,,"India (Madhya Pradesh, Chhattisgarh)",India,India,
eublepharis,132,96RZ8,genus,,,No Valid Country Found,No Valid Country Found,
aeluroscalabotes felinus,133,659ZK,species,,"Indonesia (Borneo, Sumatra, Sanana [= Sunana] Islands),",Indonesia,Indonesia,
hemitheconyx caudicinctus,134,3KTFP,species,,"Cameroon, Nigeria, Senegal, Togo, Mali, Ivory Coast, Gambia, Benin, Burkina Faso, Niger, Ghana ?, Liberia ?, Guinea (Conakry), Sierra Leone ?",Senegal,"Senegal, Mali, Ivory Coast, Gambia, Benin, Niger, Ghana, Liberia, Guinea",
gekko gecko,135,3FH5H,species,,"Bangladesh, India (Assam, Mizoram, Tripura, etc.), Nepal, Bhutan, Myanmar (= Burma), Thailand, Cambodia, Laos, Vietnam, Malaysia, S China (incl. Hong Kong, Guangxi, Taiwan), Philippines (Palawan, Calamian Islands, Panay, Luzon, Mindoro, Bohol, Masbate, Cebu, Camiguin Sur, Misamis Oriental, Sibuyan, Camiguin Sur),",Bangladesh,"Bangladesh, Nepal, Bhutan, Myanmar, Thailand, Cambodia, Laos, Vietnam, Malaysia, Hong Kong, Taiwan, Philippines",
phelsuma,136,6N56,genus,,,No Valid Country Found,No Valid Country Found,
uroplatus,137,63W9N,genus,,,No Valid Country Found,No Valid Country Found,
heloderma horridum,138,3KGXY,species,,"Mexico (Sinaloa, Nayarit, Jalisco, Colima, Michoacan, Guerrero, Morelos, W Puebla, Oaxaca, Chiapas, Durango)",Mexico,Mexico,
heloderma suspectum,139,3KGXZ,species,,"USA (SE California, S Nevada, SW Utah, Arizona, New Mexico), Mexico (Sonora, Sinaloa)",Mexico,Mexico,
hybrid,140,,genus not found,,,No Valid Country Found,No Valid Country Found,hybrid
brachylophus bulabula,141,MX3J,species,,"Larger NW islands Fiji (Viti group, including Ovalau,Gau,Kadavu and Viti Levu), Vanuatu",Fiji,Fiji,
brachylophus fasciatus,142,MX3K,species,,"Fiji Islands (Viti Levu, Wakaya, Ovalau, Moturiki, Gau, Beqa, Vatuele, Kandavu Ono, Dravuni, Taveuni, Nggamea, Vanua, Balavu, Avea, Vatu Vara,Lakeba, Aiwa, Oneata, Vanua Levu, Vanua Vatu, Totoya, Kabara, Fulaga),",Fiji,Fiji,
brachylophus vitiensis,143,MX3L,species,,Fiji Islands (Yaduataba),Fiji,Fiji,
cachryx defensor,144,9XHYV,species,,"S Mexico (Campeche, Yucatan, Quintana Roo), Guatemala (Rio Azul)",No Valid Country Found,No Valid Country Found,
conolophus marthae,145,5ZTVP,species,,Ecuador (Galapagos Islands: Isla Isabela),Ecuador,Ecuador,
conolophus subcristatus,146,5ZTW3,species,,"Galapagos (James = Santiago, Indefatigable = Santa Cruz, Albermarle = Isabella, Narborough = Fernandina, South Seymour) (belongs politically to Ecuador)",Ecuador,Ecuador,
ctenosaura sp,147,3X3S,Genus Matched. Species not found,,,No Valid Country Found,No Valid Country Found,ctenosaura sp
ctenosaura clarki,148,32765,species,,"W Mexico (Jalisco, Michoacan: valley of the Rio Tepalcatepec, Guerrero)",No Valid Country Found,No Valid Country Found,
cyclura,149,926GH,genus,,,No Valid Country Found,No Valid Country Found,
cyclura cornuta,150,32YSW,species,,"Hispaniola (Dominican Republic, Haiti), Isla Beata, Ile de la Petite Gonave, Ile de la Tortue, Ile Grande Cayemite, Ile de la Petite Cayemite, Isla Saona, Isla Cabritos, Navassa, Isla Mona, Puerto Rico (USA, Florida)",Dominican Republic,"Dominican Republic, Haiti, Puerto Rico",
cyclura cychlura figginsi,151,5DYNR,subspecies,,"Bahamas (Andros I, Exuma Cays)",No Valid Country Found,No Valid Country Found,
cyclura lewisi,152,32YT6,species,,Cayman Is.: Grand Cayman.,No Valid Country Found,No Valid Country Found,
cyclura nubila,153,6BTN8,species,,"Cuba, Isla de la Juventud (= Isla de Pinos), Archipelago de los Canarreos, Cayos de San Felipe,",Cuba,Cuba,
cyclura,154,926GH,genus,,,No Valid Country Found,No Valid Country Found,
iguana delicatissima,155,6N73J,species,,"Lesser Antilles: Anguilla, St. Martin, Ile Fourchue, Les Iles Fregates, Ile Chevreau, St. Barthelemy, Gros îlet, St. Eustatius, Nevis, Antigua,  Guadeloupe, La Desirade, Ile des Saintes, Dominica, Martinique, Barbuda,",No Valid Country Found,No Valid Country Found,
iguana iguana,156,6MV3G,species,,USA (introduced to Florida and Hawaii),No Valid Country Found,No Valid Country Found,
iguana iguana sp,157,6MV3G,species,,USA (introduced to Florida and Hawaii),No Valid Country Found,No Valid Country Found,
iguana iguana sp,158,6MV3G,species,,USA (introduced to Florida and Hawaii),No Valid Country Found,No Valid Country Found,
